  ΓöÇΓöÇ EigenvalueEq (1129) ΓöÇΓöÇ
    [EigenvalueEq|d_dr] (-Γûí+sqrt_a)(half_x) = 1.2720198┬╖half_x (eigenvalue)  (residual=1.11e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+exp)(half_x) = 5.0431674┬╖half_x (eigenvalue)  (residual=1.43e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+log)(half_x) = 0.48121204┬╖half_x (eigenvalue)  (residual=1.75e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sin)(half_x) = 0.99888449┬╖half_x (eigenvalue)  (residual=1.34e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+cos)(half_x) = -0.047220446┬╖half_x (eigenvalue)  (residual=2.83e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sinh)(half_x) = 2.4224397┬╖half_x (eigenvalue)  (residual=7.42e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+cosh)(half_x) = 2.6207277┬╖half_x (eigenvalue)  (residual=6.86e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+tanh)(half_x) = 0.92433854┬╖half_x (eigenvalue)  (residual=4.12e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+atan)(half_x) = 1.0172221┬╖half_x (eigenvalue)  (residual=7.83e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+gauss)(half_x) = 0.072946052┬╖half_x (eigenvalue)  (residual=6.68e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+gauss_x)(half_x) = 0.11802922┬╖half_x (eigenvalue)  (residual=8.75e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sigmoid)(half_x) = 0.83452386┬╖half_x (eigenvalue)  (residual=3.91e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+lgamma)(half_x) = -0.11017967┬╖half_x (eigenvalue)  (residual=4.00e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+phi_pow)(half_x) = 2.1784579┬╖half_x (eigenvalue)  (residual=2.97e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sincos)(half_x) = -0.047167771┬╖half_x (eigenvalue)  (residual=2.82e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+half_sq)(half_x) = 1.3090176┬╖half_x (eigenvalue)  (residual=4.58e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+qtr_x4)(half_x) = 1.713527┬╖half_x (eigenvalue)  (residual=1.20e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+neg_inv_a)(half_x) = -0.61803386┬╖half_x (eigenvalue)  (residual=1.08e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+gauss4)(half_x) = 0.1466039┬╖half_x (eigenvalue)  (residual=3.36e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sin_shift)(half_x) = -0.094334844┬╖half_x (eigenvalue)  (residual=1.26e-09, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+J0)(half_x) = 0.44510874┬╖half_x (eigenvalue)  (residual=1.62e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+digamma)(half_x) = 0.14036463┬╖half_x (eigenvalue)  (residual=2.40e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+airy)(half_x) = 0.063422944┬╖half_x (eigenvalue)  (residual=2.56e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+zeta)(half_x) = 2.1446683┬╖half_x (eigenvalue)  (residual=5.57e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+eta)(half_x) = 0.65466028┬╖half_x (eigenvalue)  (residual=4.85e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+csc)(half_x) = 1.0011168┬╖half_x (eigenvalue)  (residual=1.34e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+asinh)(half_x) = 1.2585029┬╖half_x (eigenvalue)  (residual=1.49e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sinc)(half_x) = 0.61734443┬╖half_x (eigenvalue)  (residual=1.16e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+J1)(half_x) = 0.57161865┬╖half_x (eigenvalue)  (residual=2.60e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+H2)(half_x) = 8.4721405┬╖half_x (eigenvalue)  (residual=3.67e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+L1)(half_x) = -0.61803434┬╖half_x (eigenvalue)  (residual=2.83e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+L2)(half_x) = -0.92705112┬╖half_x (eigenvalue)  (residual=1.08e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+P2)(half_x) = 3.4270527┬╖half_x (eigenvalue)  (residual=1.37e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+P3)(half_x) = 8.1631253┬╖half_x (eigenvalue)  (residual=5.14e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+exp_neg_a)(half_x) = 0.19828808┬╖half_x (eigenvalue)  (residual=5.61e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+lin_exp_a)(half_x) = 0.085043795┬╖half_x (eigenvalue)  (residual=7.51e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+x_exp_a)(half_x) = 0.72050341┬╖half_x (eigenvalue)  (residual=2.41e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+exp_inv_a)(half_x) = 0.12254875┬╖half_x (eigenvalue)  (residual=5.61e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+half_x)(half_x) = 0.80901717┬╖half_x (eigenvalue)  (residual=1.42e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sech2)(half_x) = 0.29119652┬╖half_x (eigenvalue)  (residual=1.52e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+gauss2)(half_x) = 0.27008527┬╖half_x (eigenvalue)  (residual=1.24e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+clip_para)(half_x) = 0.34549122┬╖half_x (eigenvalue)  (residual=2.29e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+step)(half_x) = 1┬╖half_x (eigenvalue)  (residual=0.00e+00, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+abs)(half_x) = 1.6180343┬╖half_x (eigenvalue)  (residual=2.83e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+pow_half)(half_x) = 1.2720198┬╖half_x (eigenvalue)  (residual=1.11e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+id)(step) = 1.6180343┬╖step (eigenvalue)  (residual=3.50e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sq)(step) = 2.6180351┬╖step (eigenvalue)  (residual=1.13e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+cube)(step) = 4.2360707┬╖step (eigenvalue)  (residual=2.75e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+x4)(step) = 6.8541079┬╖step (eigenvalue)  (residual=5.93e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+inv)(step) = 0.61803386┬╖step (eigenvalue)  (residual=1.34e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+inv_sq)(step) = 0.38196585┬╖step (eigenvalue)  (residual=1.65e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sqrt_a)(step) = 1.2720198┬╖step (eigenvalue)  (residual=1.38e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+exp)(step) = 5.0431674┬╖step (eigenvalue)  (residual=1.77e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+log)(step) = 0.48121204┬╖step (eigenvalue)  (residual=2.16e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sin)(step) = 0.99888449┬╖step (eigenvalue)  (residual=1.65e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+cos)(step) = -0.047220446┬╖step (eigenvalue)  (residual=3.50e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sinh)(step) = 2.4224397┬╖step (eigenvalue)  (residual=9.17e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+cosh)(step) = 2.6207277┬╖step (eigenvalue)  (residual=8.48e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+tanh)(step) = 0.92433854┬╖step (eigenvalue)  (residual=5.10e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+atan)(step) = 1.0172221┬╖step (eigenvalue)  (residual=9.67e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+gauss)(step) = 0.072946052┬╖step (eigenvalue)  (residual=8.26e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+gauss_x)(step) = 0.11802922┬╖step (eigenvalue)  (residual=1.08e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sigmoid)(step) = 0.83452386┬╖step (eigenvalue)  (residual=4.83e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+lgamma)(step) = -0.11017967┬╖step (eigenvalue)  (residual=4.95e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+phi_pow)(step) = 2.1784579┬╖step (eigenvalue)  (residual=3.67e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sincos)(step) = -0.047167771┬╖step (eigenvalue)  (residual=3.48e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+half_sq)(step) = 1.3090176┬╖step (eigenvalue)  (residual=5.66e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+qtr_x4)(step) = 1.713527┬╖step (eigenvalue)  (residual=1.48e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+neg_inv_a)(step) = -0.61803386┬╖step (eigenvalue)  (residual=1.34e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+gauss4)(step) = 0.1466039┬╖step (eigenvalue)  (residual=4.15e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sin_shift)(step) = -0.094334844┬╖step (eigenvalue)  (residual=1.56e-09, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+J0)(step) = 0.44510874┬╖step (eigenvalue)  (residual=2.00e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+digamma)(step) = 0.14036463┬╖step (eigenvalue)  (residual=2.97e-07, pts=8)
